"voter_id";"expectation"
1255;"Tax reduction"
1267;"Tax reduction"
1268;"Tax reduction"
1269;"Tax reduction"
1269;"Tax reduction"
1271;"Tax reduction"
1274;"Tax reduction"
1276;"Tax reduction"
1278;"Job Opportunities"
1282;"Job Opportunities"
1285;"Job Opportunities"
1293;"Tax reduction"
1294;"Tax reduction"
1298;"Job Opportunities"
1305;"Tax reduction"
1309;"Other"
1051;"Better Education"
1057;"Better Education"
1083;"Better Education"
1101;"Better Education"
1117;"Reduce Crime"
1164;"Tax reduction"
1172;"Tax reduction"
1208;"Tax reduction"
1211;"Job Opportunities"
1252;"Tax reduction"
1265;"Job Opportunities"
1288;"Reduce Crime"
1003;"Better Education"
1009;"Better Education"
1063;"Better Education"
1065;"Better Education"
1074;"Better Education"
1113;"Better Education"
1125;"Reduce Crime"
1136;"Better Education"
1140;"Better Education"
1153;"Better Education"
1156;"Better Education"
1184;"Better Education"
1185;"Reduce Crime"
1190;"Better Education"
1192;"Better Education"
1197;"Job Opportunities"
1200;"Job Opportunities"
1204;"Job Opportunities"
1231;"Job Opportunities"
1237;"Job Opportunities"
1241;"Job Opportunities"
1243;"Job Opportunities"
1258;"Job Opportunities"
1262;"Job Opportunities"
1273;"Better Education"
1280;"Tax reduction"
1287;"Tax reduction"
1292;"Better Education"
1299;"Tax reduction"
1306;"Tax reduction"
1005;"Tax reduction"
1010;"Better Education"
1011;"Better Education"
1016;"Better Education"
1017;"Better Education"
1018;"Better Education"
1024;"Better Education"
1025;"Reduce Crime"
1026;"Better Education"
1028;"Better Education"
1031;"Better Education"
1032;"Better Education"
1033;"Better Education"
1034;"Better Education"
1037;"Better Education"
1038;"Better Education"
1039;"Better Education"
1041;"Tax reduction"
1049;"Other"
1050;"Better Education"
1052;"Better Education"
1056;"Better Education"
1060;"Tax reduction"
1068;"Better Education"
1073;"Better Education"
1075;"Better Education"
1076;"Tax reduction"
1078;"Better Education"
1079;"Better Education"
1082;"Better Education"
1084;"Better Education"
1086;"Better Education"
1088;"Job Opportunities"
1089;"Job Opportunities"
1091;"Job Opportunities"
1096;"Job Opportunities"
1098;"Job Opportunities"
1103;"Other"
1106;"Better Education"
1111;"Better Education"
1116;"Better Education"
1119;"Better Education"
1123;"Job Opportunities"
1124;"Job Opportunities"
1128;"Job Opportunities"
1129;"Job Opportunities"
1131;"Job Opportunities"
1134;"Job Opportunities"
1137;"Job Opportunities"
1138;"Job Opportunities"
1141;"Job Opportunities"
1143;"Tax reduction"
1144;"Reduce Crime"
1145;"Job Opportunities"
1146;"Other"
1147;"Reduce Crime"
1150;"Job Opportunities"
1152;"Other"
1154;"Better Education"
1155;"Job Opportunities"
1157;"Job Opportunities"
1159;"Better Education"
1163;"Job Opportunities"
1165;"Other"
1169;"Job Opportunities"
1174;"Job Opportunities"
1176;"Better Education"
1183;"Job Opportunities"
1187;"Job Opportunities"
1188;"Job Opportunities"
1189;"Job Opportunities"
1193;"Reduce Crime"
1195;"Better Education"
1203;"Job Opportunities"
1206;"Job Opportunities"
1210;"Job Opportunities"
1212;"Job Opportunities"
1215;"Better Education"
1216;"Job Opportunities"
1221;"Other"
1224;"Job Opportunities"
1227;"Job Opportunities"
1235;"Job Opportunities"
1242;"Tax reduction"
1244;"Job Opportunities"
1246;"Job Opportunities"
1250;"Job Opportunities"
1251;"Job Opportunities"
1257;"Other"
1261;"Job Opportunities"
1263;"Job Opportunities"
1266;"Other"
1270;"Reduce Crime"
1275;"Job Opportunities"
1277;"Other"
1279;"Reduce Crime"
1286;"Job Opportunities"
1290;"Job Opportunities"
1291;"Job Opportunities"
1295;"Job Opportunities"
1296;"Job Opportunities"
1297;"Reduce Crime"
1301;"Other"
1302;"Job Opportunities"
1303;"Job Opportunities"
1307;"Other"
1308;"Job Opportunities"
1310;"Other"
